product_id,discount_code,discount_percent,valid_until,flash_sale
P001,GREEN10,10,2026-03-15,false
P002,COCONUT15,15,2026-03-10,false
P003,DAL20,20,2026-03-08,true
P004,BAMBOO25,25,2026-03-12,true
P005,JAGGERY12,12,2026-03-20,false
P006,TEA18,18,2026-03-07,false
P007,LED25,25,2026-03-15,true
P008,SOLAR22,22,2026-03-18,true
P009,FAN15,15,2026-03-25,false
P010,JUTE30,30,2026-03-05,true
P011,CHIA10,10,2026-03-14,false
P012,CUTLERY20,20,2026-03-09,true
P013,FLAX15,15,2026-03-11,false
P014,COPPER18,18,2026-03-16,false
P015,GEYSER10,10,2026-03-30,false
P016,HONEY22,22,2026-03-13,true
P017,SOLAR15,15,2026-03-22,false
P018,PAPER25,25,2026-03-06,true
P019,MASOOR12,12,2026-03-19,false
P020,AC08,8,2026-03-28,false
P021,HERBAL20,20,2026-03-10,true
P022,PEANUT15,15,2026-03-17,false
P023,SMART20,20,2026-03-12,true
P024,COMPOST18,18,2026-03-08,false
P025,QUINOA12,12,2026-03-20,false
P026,TOWEL20,20,2026-03-14,true
P027,BUGZAP15,15,2026-03-18,true
P028,TURMERIC10,10,2026-03-25,false
P029,STRAW22,22,2026-03-12,true
P030,ACGREEN08,8,2026-03-30,false
P031,RAGI15,15,2026-03-16,false
P032,LOOFAH25,25,2026-03-10,true
P033,SOLARH12,12,2026-03-28,false
P034,COCOSUGAR18,18,2026-03-15,false
P035,ECOBAG20,20,2026-03-09,true
P036,FRIDGE10,10,2026-03-25,false
